index,job_title,salary_min,salary_max,company_name,company_location,link
31,Skype Senior Software Engineer,"104,000","193,200",Microsoft,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=ffbece740cbf3f14&bb=77_gCTB8I15B9OOlsx__49ekXdNU9HbRS9DIXdhx9KzRDNoLp7z4oKJa1INEaaKF&xkcb=SoDG67M3H8za1hWNtJ0LbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3
32,Data Engineer - Ads Data,"136,800","205,000",TikTok,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=2bcf6d03839e85cd&bb=77_gCTB8I15XMyCYMpnTkWFsw6oM8y5VNGFP8aavh9o7MbVixhmz94KL9JStKcBR&xkcb=SoDv67M3H8za1hWNtJ0JbzkdCdPP&fccid=caed318a9335aac0&vjs=3
33,"Backend Software Engineer, Trust and Safety Engineering - 2024 Start(BS/MS)",not given,not given,TikTok,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=177d2fff3cbf264a&bb=77_gCTB8I143t-ZhDwfvj5a7M_XYUjgdepo9hDvHS3RpP8ayxFip72p1BFLGtId3&xkcb=SoDV67M3H8za1hWNtJ0PbzkdCdPP&fccid=caed318a9335aac0&vjs=3
34,"Software Development Engineer in Test - Trust and Safety, TikTok (Canada)","112,320","237,120",TikTok,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=4508e6c0ce97344f&bb=AMiJMhjmZSBX6rtTGubKGGsgW_Y5oGU3dp-vZeyozne1xixnxqudTNAuv4IO-4mu&xkcb=SoCD67M3H8za1h2NtJ0LbzkdCdPP&fccid=caed318a9335aac0&vjs=3
35,Senior Software Engineer,"104,000","193,200",Microsoft,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=7a70bcb5608c633b&bb=AMiJMhjmZSCwlJNcoA7OxPgXm3pXoMXLflDFwRvr8RHa-WOR_n1Gj68Cy_aNtP05&xkcb=SoCq67M3H8za1h2NtJ0JbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3
36,"Software Engineer, Product","146,000","224,000",Asana,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=279fc3a94d329dd9&bb=AMiJMhjmZSDziPApty3AyVZS-AHznhNlm4MXVtIeKKTYXXsBX7DfE6qxYvTWyhSG&xkcb=SoCQ67M3H8za1h2NtJ0PbzkdCdPP&fccid=3a5192e8900e19bd&vjs=3
37,"Intern, Software Engineering",not given,not given,Analog Devices,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=508cd6577cbf5496&bb=AMiJMhjmZSD9taQ0N_gS1OvvC_7QVC9808DB2ziL4QuclSdeSIlyvjI46LOsd496&xkcb=SoC567M3H8za1h2NtJ0NbzkdCdPP&fccid=795688f508690d17&vjs=3
38,Software Developer,not given,not given,D2L,"Remote in Vancouver, BC",https://ca.indeed.com/rc/clk?jk=f0385d7ffce98fb5&bb=Ry8HENahncjk4KKMDAB7G90zVCFIaqQoh-8QAm9InAIh51qmSA61gG4jc5IZHjRr&xkcb=SoC567M3H8za1gWNtJ0KbzkdCdPP&fccid=7c3a25cdc8e47610&vjs=3
39,Applied Scientist,"79,600","153,000",Microsoft,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=ca6d87abd72d3c0c&bb=Ry8HENahncjQcUkw9e-sck8UmMUxujhf2sRx7DLKx8XtvqgmJtavBdAAkWpr6d5m&xkcb=SoCQ67M3H8za1gWNtJ0IbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3
40,Senior Software Engineer - Frontend,"104,000","193,200",Microsoft,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=9b303bd8ea7d8c9a&bb=Ry8HENahnchdjTspjqK1dlGPq91J4gDjfCD2hwsOCwEnPw1pR0hsqvfjPSD9-S9d&xkcb=SoCq67M3H8za1gWNtJ0ObzkdCdPP&fccid=734cb5a01ee60f80&vjs=3
41,"Director, Product Analytics & Data Science","173,400","227,500",Lululemon,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=6e4fc04db929dd40&bb=Yn-c61Pd4yzBAnrqeMCncOxG0rd-Ts-Fgw6R9EMGXUu2oizfVrCBlwDEgu2g5Z5b&xkcb=SoBI67M3H8za1g2NtJ0LbzkdCdPP&fccid=43f0f7dbd55927e9&vjs=3
42,Staff Software Engineer - Digital Transaction,"141,000","185,000",Lululemon,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=364eabd58cc3185a&bb=Yn-c61Pd4yxu9ENJS55W1X8juM4byjIszRvCypRFtrYmFh-kJPePva-q6Y4jr-XT&xkcb=SoBh67M3H8za1g2NtJ0JbzkdCdPP&fccid=43f0f7dbd55927e9&vjs=3
43,Software Developer,"62,400","68,640",GOKABU TECHNOLOGIES,"Richmond, BC",https://ca.indeed.com/rc/clk?jk=8dc3c0f5f5ff5603&bb=Yn-c61Pd4ywAgzMxLrOC0hVDAhUSvpVZFc-faNRBMdyOI6L3r8yYefKihpmeCjdp&xkcb=SoBb67M3H8za1g2NtJ0PbzkdCdPP&fccid=1af9b19da9d648b0&vjs=3
44,"Software Engineer, TikTok Business Integrity","117,000","210,960",TikTok,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=573280da0a1b23d3&bb=xV-nuyWM1fOmzcAMr1eYd2dtB4Ys5IBKrPudfaAvfzP8k8VcYRbbEYzUe9Vr2k_H&xkcb=SoBy67M3H8za1g2NtJ0NbzkdCdPP&fccid=caed318a9335aac0&vjs=3
45,Software Developer Co-op Internship- Backend,not given,not given,Numerix,"Remote in Vancouver, BC",https://ca.indeed.com/rc/clk?jk=00a159f84ebfde9b&bb=AnMEf7YTfaZtgVN_bhX1Vgpv7SdOjo-sGMzSg6Q2U72g4j-Ruc4fphH1N9CzMvvC&xkcb=SoDw67M3H8zavZWfxp0JbzkdCdPP&fccid=bea74927fd353048&vjs=3
46,Junior Data Scientist,not given,not given,Theory and Practice,"Hybrid remote in Vancouver, BC",https://ca.indeed.com/rc/clk?jk=6270ac9a4cc5355e&bb=jbbMBhAQsSksu-blEmL0VDWKPZw4-xC41Xio4GHtaU0tmI6wUeFND7K_DelcQVH1&xkcb=SoAo67M3H8zavZ2fxp0KbzkdCdPP&fccid=a503b36b0698d3d5&vjs=3
47,Software Engineer,not given,not given,Imperva,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=944bfd17e26bf4ff&bb=II2mtc7dg0AkH8C9JAnkW5RoOF6bZPmZ5Gfurknjh7_FkKX1U0aJ5A4np5xSOT9o&xkcb=SoAS67M3H8zavYWfxp0LbzkdCdPP&fccid=a83aa9033316475b&vjs=3
48,"Manager, Software Development Engineering","120,000","180,000",Workday,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=0e09d5d4109851af&bb=II2mtc7dg0A76B-OAHTvF3TB7mV88uE1GEqesfJUQzGwBY-QaxqP4iRhKxGTbPKT&xkcb=SoA767M3H8zavYWfxp0JbzkdCdPP&fccid=9ac45d217f8342a1&vjs=3
49,Backend Software Engineer,not given,not given,ActiveState,"Remote in Vancouver, BC",https://ca.indeed.com/rc/clk?jk=0e48809d1ece6b60&bb=ta0uHp-F5ogjk54Ybunv1m0AAMsEK7_xmX6uUrrt2zrytluRYTwGw1FmqH9wcSuF&xkcb=SoAB67M3H8zavYWfxp0PbzkdCdPP&fccid=c7e2845bd1feaf62&vjs=3
50,Senior Software Development Engineer in Test (SDET),"80,000","90,000",Eventbase,"Remote in Vancouver, BC",https://ca.indeed.com/rc/clk?jk=c2a12fcda4ad2f3c&bb=ta0uHp-F5oj_LkRabb9j22ErO8ZcfgnndoGs0Y2yibN5cbE19a4AylTS3iOY9D8G&xkcb=SoDK67M3H8zavY2fxp0IbzkdCdPP&fccid=ae6e5e3426c2cfcb&vjs=3
51,Software Quality Assurance Analyst - FTT,"7,255","8,725",TransLink,"Metro Vancouver Regional District, BC",https://ca.indeed.com/rc/clk?jk=a84d1a195d71e52d&bb=X7655DoEDCxmEi5hHCG0oYlklPoZ9duurvnACxiTcH2zcdH0irnc2xkZfaV9waLl&xkcb=SoDw67M3H8zavY2fxp0ObzkdCdPP&fccid=966bd00de3e8ab9d&vjs=3
52,Full Stack Developer,"50,000","70,000",ANANA Properties Inc.,"Remote in Vancouver, BC",https://ca.indeed.com/rc/clk?jk=f07e4922fd7973f4&bb=X7655DoEDCykfqOCNtIIR_XpoJZsc9NO04YkCEO1zElhSZZWEtnKhwZ6tCfWXtHf&xkcb=SoC667M3H8zavbWfxp0KbzkdCdPP&fccid=c2a50738c17c2324&cmp=ANANA-Properties-Inc.&ti=Full+Stack+Developer&vjs=3
53,Software Design Engineer,"50,000","70,000",ATEN Canada Technologies Inc.,"Richmond, BC",https://ca.indeed.com/rc/clk?jk=c91cc4e86dd7443c&bb=PVzjnMgpPAEQlhR2HbHR6idPch7PQbPj3TCr6FPfw1pgIQzKuDGBZ8T0eYhH2w0Q&xkcb=SoD_67M3H8zavb2fxp0KbzkdCdPP&fccid=d9752c3870b5ab91&cmp=ATEN-Canada-Technologies-Inc.&ti=User+Experience+Designer&vjs=3
54,Business Intelligence Engineer,16.66,none,To Nature,"Richmond, BC",https://ca.indeed.com/rc/clk?jk=27f5d868e5afcbfb&bb=Dx4q5Ig3P2zX6xhb-ze_CluGAvRIFEEcAZ075kbtvdBupnDH9ZAXlVotNW38TNlj&xkcb=SoBx67M3H8zavaWfxp0KbzkdCdPP&fccid=a16aba7167ba1313&cmp=To-Nature&ti=Business+Intelligence+Developer&vjs=3
55,Sr Associate Software Application Engineer,"81,600","122,400",Workday,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=f11cf3700b7a0e19&bb=Dx4q5Ig3P2w_RrtsJwI_r1QCPyWLibXQ8Etf-ZUklUgDJwng6C8eaFcrIWzr1MBn&xkcb=SoBY67M3H8zavaWfxp0IbzkdCdPP&fccid=9ac45d217f8342a1&vjs=3
56,Machine Learning Engineer Graduate (Monetization Technology- Business Integrity)- 2024 Start (BS/MS/PhD),"144,000","208,000",TikTok,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=43fddf0377e9e7ba&bb=zVfOt0srL92iHo675kRaRqfdJ3MVcdCu8GJ-rFl-VISm6JVQD86qA2mZ-zfW751g&xkcb=SoCA67M3H8zava2fxp0LbzkdCdPP&fccid=caed318a9335aac0&vjs=3
57,Support Engineer,"75,000","85,000",VoPay International Inc.,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=c8ba2951045d477d&bb=zVfOt0srL91AaHtmQEdgwCPpBixgx2eNqyCpch26Xxm-Qmyb4zgi0kQgtFD7oMl9&xkcb=SoCp67M3H8zava2fxp0JbzkdCdPP&fccid=8fc411329a3ec92c&cmp=VoPay-International-Inc.&ti=Support+Engineer&vjs=3
58,"General Backend Software Engineer - Trust and Safety, TikTok (Canada)","92,160","210,960",TikTok,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=7a739f2f03b836b1&bb=zVfOt0srL91e3kaS9QSZ_2TOR_Uh3AKXuXnZ4TRp56LYjq9ZGthuajgRgpqPDIMw&xkcb=SoCT67M3H8zava2fxp0PbzkdCdPP&fccid=caed318a9335aac0&vjs=3
59,Systems Analyst I,"67,500","82,500",Seaspan ULC,"Hybrid remote in North Vancouver, BC",https://ca.indeed.com/rc/clk?jk=959255897dfb26b9&bb=277kSQlKYEYvgCtUpXzEQAqXjJGYPyZBr3WIFvSib8SlF3AphPIilTOzyU5UXcDu&xkcb=SoDG67M3H8zavFWfxp0LbzkdCdPP&fccid=39e239a7200df342&vjs=3
60,Machine Learning Engineer Graduate (Monetization Technology- Business Integrity)- 2024 Start (BS/MS/PhD),"144,000","208,000",TikTok,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=43fddf0377e9e7ba&bb=f3yDswO07bUB4JkFwXrsuoc4rb2-VF0kkZL1CxBihjzIhLLkdzb0QA9c0mrFVUiA&xkcb=SoAe67M3H8zaEWzeqx0LbzkdCdPP&fccid=caed318a9335aac0&vjs=3
61,Systems Analyst I,"67,500","82,500",Seaspan ULC,"Hybrid remote in North Vancouver, BC",https://ca.indeed.com/rc/clk?jk=959255897dfb26b9&bb=f3yDswO07bUYY1lMCgMcwwRD0BFy4C0uwVSORm2Dh6X7anTmLhnH_4CddGfm9tzg&xkcb=SoC567M3H8zaEWzeqx0ObzkdCdPP&fccid=39e239a7200df342&vjs=3
62,"General Backend Software Engineer - Trust and Safety, TikTok (Canada)","92,160","210,960",TikTok,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=7a739f2f03b836b1&bb=ZvS1uezHJH8TveGdWlx38A2m5nXuimll7Yc6Pz_P3y38gbwp_-WUk9-vRQXV24L7&xkcb=SoCo67M3H8zaERTeqx0LbzkdCdPP&fccid=caed318a9335aac0&vjs=3
63,Application Developer,"80,718.42","93,540.00",BC Housing,"Hybrid remote in Burnaby, BC",https://ca.indeed.com/rc/clk?jk=4bef2babb984d243&bb=ZvS1uezHJH_ieQm3jjwpTc1iTMJWaWtDFuWCi7JfooglrUyV-syOjoNq33MCezQW&xkcb=SoCB67M3H8zaERTeqx0JbzkdCdPP&fccid=2b4efe4b5b373b98&vjs=3
64,Tools Programmer - Xbox Games Technology Group - The Coalition,"79,600","153,000",Microsoft,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=4f209ac09ea88e9b&bb=ZvS1uezHJH-7xrIvLVB87-OxwPTtdjljjd3CeA-WFKUnE8EVQSd8OO-MHc3cenWP&xkcb=SoC767M3H8zaERTeqx0PbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3
65,software developer,"50,000","60,000",Dolphin Enterprises Ltd,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=26895b0cc9a0317c&bb=ZvS1uezHJH-8VgZLMoXdc8Z0TKKhvUS_iZMSvdWgzahosnaJb3nArrrIbcwp4GgC&xkcb=SoCS67M3H8zaERTeqx0NbzkdCdPP&fccid=ce8f53efb71c7e73&vjs=3
66,Machine Learning Engineer,"100,000","130,000",Theory and Practice,"Hybrid remote in Vancouver, BC",https://ca.indeed.com/rc/clk?jk=056869b97c4b5960&bb=f4Ra5cOidWAd_s4w5AeFXM8hU2NrGJHIR9UeXXsGUr9dc2E2u1OEGjfxyeP3Aj7X&xkcb=SoBZ67M3H8zaERzeqx0KbzkdCdPP&fccid=a503b36b0698d3d5&vjs=3
67,Systems Administrator,44.87,none,PHSA,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=d6d9acbe5e5a2e8b&bb=f4Ra5cOidWDDhVb01Uyg2qLM6Bmcmp4GsQgc1bdw26p7sz81Xp_GO1uMV6UTS2A5&xkcb=SoD-67M3H8zaERzeqx0PbzkdCdPP&fccid=f66f721a44de3765&vjs=3
68,IT - Network Analyst,"60,008",none,Northland Properties,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=43277718bcca8338&bb=ETarEN-S2UZv3n63Tse4-1w7OvulMHFVRXwjRkKcZyeNO0L0ELcUw-nPEEtReId7&xkcb=SoDX67M3H8zaEQTeqx0KbzkdCdPP&fccid=cd97cfb1d29739ad&vjs=3
69,Full Stack Developer,"70,000","100,000",Freshslice Pizza,"Burnaby, BC",https://ca.indeed.com/rc/clk?jk=ea1b07e05dc74f29&bb=ETarEN-S2UaaX2lN3Xn1awqkfBzG1Ucx7aqizG4W991s3dQfhpPb2RNxPN6uzt-1&xkcb=SoD-67M3H8zaEQTeqx0IbzkdCdPP&fccid=353a1b0a0c9d971d&cmp=Freshslice-Pizza&ti=Full+Stack+Developer&vjs=3
70,Machine Learning Engineer,"80,000",none,Sunia Technology Inc.,"Burnaby, BC",https://ca.indeed.com/rc/clk?jk=cf982e11cc1db1cb&bb=9hkSa5qlxEHQ985qL6JKDG4QLfC96iMJRX9cIrKlzx5aiiwDQ-S4FqBnwr4ArYOF&xkcb=SoAm67M3H8zaEQzeqx0LbzkdCdPP&fccid=986a2596741790df&cmp=Sunia-Technology-Inc.&ti=Machine+Learning+Engineer&vjs=3
71,Co-op Software Developer,not given,not given,Rise People Inc.,"Burnaby, BC",https://ca.indeed.com/rc/clk?jk=45dc961eb22ff87d&bb=9hkSa5qlxEF4l7kilQAXcLGltrPLHDCkOoLAIMdm4oMXJ3LImlXDM8IkDXZexoYQ&xkcb=SoAP67M3H8zaEQzeqx0JbzkdCdPP&fccid=651fa4a0e97e35c4&vjs=3
72,Software Development Analyst - FTT,"7,255","8,725",TransLink,"Metro Vancouver Regional District, BC",https://ca.indeed.com/rc/clk?jk=decf25faf138d71d&bb=9hkSa5qlxEEzDd3PdAoXEqThyHox216_zahFxfQvFqfYTHfpXfYkk-KJeZNYOrfB&xkcb=SoA167M3H8zaEQzeqx0PbzkdCdPP&fccid=966bd00de3e8ab9d&vjs=3
73,Machine Learning Engineer - TikTok Business Integrity,"117,000","210,960",TikTok,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=27484a4ff30084ac&bb=Y34To1e7rgT0CPeEhQc5VU_Mj9PQJ_E_Q226Nqp8zGI61i6WVklhvK6Qzfe87YG0&xkcb=SoDL67M3H8zaETTeqx0KbzkdCdPP&fccid=caed318a9335aac0&vjs=3
74,IT Analyst,"50,000","80,000",QM Environmental,"Delta, BC",https://ca.indeed.com/rc/clk?jk=47c0a1860a4a1a8a&bb=Y34To1e7rgTvwwZm_PMrz8fuwKL4hOQahr_aA3SgihIcrKKo2XyVFkIfxoW0I1gm&xkcb=SoBs67M3H8zaETTeqx0PbzkdCdPP&fccid=b3dc919e16c3a4e7&cmp=QM-Environmental&ti=IT+Analyst&vjs=3